arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.28,0.24,0.32,0.0,0.0,0.0,0.982
majority vote (self-consistency),2,0.6931,500,0.28,0.242,0.32,0.0,0.0,0.0,0.982
majority vote (self-consistency),4,1.3863,500,0.3,0.26,0.34,0.02,0.004,0.038,0.982
majority vote (self-consistency),8,2.0794,500,0.322,0.282,0.364,0.042,0.02,0.066,0.982
majority vote (self-consistency),16,2.7726,500,0.322,0.282,0.362,0.042,0.018,0.066,0.982
majority vote (self-consistency),32,3.4657,500,0.328,0.288,0.37,0.048,0.022,0.074,0.982
majority vote (self-consistency),64,4.1589,500,0.334,0.294,0.374,0.054,0.026,0.082,0.982
pointwise reward (Qwen2.5-3B),1,0.0,500,0.28,0.24,0.32,0.0,0.0,0.0,-0.7748
pointwise reward (Qwen2.5-3B),2,0.6931,500,0.278,0.24,0.318,-0.002,-0.02,0.016,-0.7748
pointwise reward (Qwen2.5-3B),4,1.3863,500,0.288,0.25,0.328,0.008,-0.018,0.034,-0.7748
pointwise reward (Qwen2.5-3B),8,2.0794,500,0.27,0.232,0.31,-0.01,-0.038,0.018,-0.7748
pointwise reward (Qwen2.5-3B),16,2.7726,500,0.246,0.208,0.284,-0.034,-0.066,-0.002,-0.7748
pointwise reward (Qwen2.5-3B),32,3.4657,500,0.246,0.208,0.284,-0.034,-0.068,0.0,-0.7748
pointwise reward (Qwen2.5-3B),64,4.1589,500,0.252,0.214,0.29,-0.028,-0.06,0.004,-0.7748
"risky model alone, k=-1 (greedy)",1,,500,0.722,0.682,0.76,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.674,0.632,0.714,,,,
