decoder,constraint,k,n,active_step_pct,distinct3,n_judged,win_pct,loss_pct,judge_picked_first_pct,retention_pct,judge
KL,kl,0.5,1500,48.049,0.8558,600,24.3,42.0,11.5,58.0,microsoft/Phi-3.5-mini-instruct
KL,kl,0.6,1500,36.493,0.8578,600,25.0,39.3,10.5,60.7,microsoft/Phi-3.5-mini-instruct
KL,kl,0.7,1500,24.24,0.8596,600,25.5,39.3,11.3,60.7,microsoft/Phi-3.5-mini-instruct
KL,kl,0.8,1500,15.071,0.8594,600,31.8,33.8,12.2,66.2,microsoft/Phi-3.5-mini-instruct
KL,kl,1.0,1500,5.428,0.86,600,26.5,38.0,10.7,62.0,microsoft/Phi-3.5-mini-instruct
KL,kl,1.5,1500,1.153,0.8653,600,26.8,37.8,13.6,62.2,microsoft/Phi-3.5-mini-instruct
KL,kl,2.0,1500,0.531,0.88,600,31.3,34.8,12.5,65.2,microsoft/Phi-3.5-mini-instruct
KL,kl,2.5,1500,0.385,0.9193,600,29.3,34.5,11.6,65.5,microsoft/Phi-3.5-mini-instruct
KL,kl,3.0,1500,0.349,0.9595,600,30.8,33.3,16.4,66.7,microsoft/Phi-3.5-mini-instruct
KL,kl,5.0,1500,0.243,0.9808,600,29.7,32.5,14.6,67.5,microsoft/Phi-3.5-mini-instruct
KL,kl,10.0,1500,0.008,0.9849,600,33.2,28.8,13.0,71.2,microsoft/Phi-3.5-mini-instruct
KL,kl,20.0,1500,0.0,0.9849,600,31.8,32.2,15.4,67.8,microsoft/Phi-3.5-mini-instruct
anchor only,kl,0.0,1500,0.0,0.8378,600,27.8,37.7,9.9,62.3,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,0.5,1500,63.314,0.8484,600,26.0,40.8,13.6,59.2,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,1.0,1500,16.075,0.8579,600,30.2,37.5,12.4,62.5,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,3.0,1500,2.079,0.8934,600,31.2,35.3,13.4,64.7,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,5.0,1500,1.153,0.9689,600,30.7,37.3,11.0,62.7,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,10.0,1500,0.513,0.986,600,34.0,29.3,13.5,70.7,microsoft/Phi-3.5-mini-instruct
pathwise,pathwise,20.0,1500,0.002,0.9849,600,33.2,33.2,14.2,66.8,microsoft/Phi-3.5-mini-instruct
renyi a=1,renyi:1.0,3.0,150,0.378,0.9381,150,33.3,27.3,11.9,72.7,microsoft/Phi-3.5-mini-instruct
renyi a=2,renyi:2,3.0,150,2.504,0.9328,150,32.7,34.0,12.7,66.0,microsoft/Phi-3.5-mini-instruct
renyi a=4,renyi:4,3.0,150,90.198,0.9193,150,32.0,34.0,9.8,66.0,microsoft/Phi-3.5-mini-instruct
renyi a=8,renyi:8,3.0,150,99.457,0.9082,150,28.0,36.0,11.6,64.0,microsoft/Phi-3.5-mini-instruct
risky only,kl,-1.0,1500,0.0,0.9852,0,,,,,microsoft/Phi-3.5-mini-instruct
risky only (null),kl,-1.0,500,0.0,0.9852,500,31.8,30.6,9.8,69.4,microsoft/Phi-3.5-mini-instruct
