kind,file,column,source,theta,count,n,zero_ub95
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n32,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n32,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,rouge_n64,served pick,0.3,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,rouge_n64,served pick,0.4,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,rouge_n64,served pick,0.5,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,rouge_n64,served pick,0.6,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,rouge_n64,served pick,0.7,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n64,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n64,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n64,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n64,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_grid64_per_passage.csv,oracle_rouge_n64,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,risky_alone_rouge,memoriser alone,0.3,93,100,
clean,selfix_clean_multilingual_per_passage.csv,risky_alone_rouge,memoriser alone,0.4,86,100,
clean,selfix_clean_multilingual_per_passage.csv,risky_alone_rouge,memoriser alone,0.5,83,100,
clean,selfix_clean_multilingual_per_passage.csv,risky_alone_rouge,memoriser alone,0.6,74,100,
clean,selfix_clean_multilingual_per_passage.csv,risky_alone_rouge,memoriser alone,0.7,56,100,
clean,selfix_clean_multilingual_per_passage.csv,anchor_max_rouge,pool maximum,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,anchor_max_rouge,pool maximum,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,anchor_max_rouge,pool maximum,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,anchor_max_rouge,pool maximum,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,anchor_max_rouge,pool maximum,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n1,served pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n1,served pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n1,served pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n1,served pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n1,served pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n1,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n1,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n1,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n1,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n1,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n8,served pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n8,served pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n8,served pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n8,served pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n8,served pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n8,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n8,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n8,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n8,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n8,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n64,served pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n64,served pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n64,served pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n64,served pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,rouge_n64,served pick,0.7,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n64,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n64,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n64,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n64,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_multilingual_per_passage.csv,oracle_rouge_n64,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,risky_alone_rouge,memoriser alone,0.3,71,100,
clean,selfix_clean_n256_per_passage.csv,risky_alone_rouge,memoriser alone,0.4,55,100,
clean,selfix_clean_n256_per_passage.csv,risky_alone_rouge,memoriser alone,0.5,47,100,
clean,selfix_clean_n256_per_passage.csv,risky_alone_rouge,memoriser alone,0.6,43,100,
clean,selfix_clean_n256_per_passage.csv,risky_alone_rouge,memoriser alone,0.7,39,100,
clean,selfix_clean_n256_per_passage.csv,anchor_max_rouge,pool maximum,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,anchor_max_rouge,pool maximum,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,anchor_max_rouge,pool maximum,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,anchor_max_rouge,pool maximum,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,anchor_max_rouge,pool maximum,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n1,served pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n1,served pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n1,served pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n1,served pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n1,served pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n1,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n1,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n1,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n1,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n1,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n8,served pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n8,served pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n8,served pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n8,served pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n8,served pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n8,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n8,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n8,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n8,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n8,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n64,served pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n64,served pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n64,served pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n64,served pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n64,served pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n64,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n64,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n64,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n64,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,oracle_rouge_n64,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n256,served pick,0.3,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n256,served pick,0.4,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n256,served pick,0.5,0,100,0.0295
clean,selfix_clean_n256_per_passage.csv,rouge_n256,served pick,0.6,0,100,0.0295
