k,constraint,split,n,T_mean,V_median,V_p90,V_p99,b_median,b_p90,b_p99,b_max,M_mean,M_p95,M_max,L_gt_K_pct,emp_P_M_ge_10,delta_10_cap_p90,delta_10_cap_p99,delta_10_cap_max,emp_P_M_ge_25,delta_25_cap_p90,delta_25_cap_p99,delta_25_cap_max,emp_P_M_ge_50,delta_50_cap_p90,delta_50_cap_p99,delta_50_cap_max,emp_P_M_ge_100,delta_100_cap_p90,delta_100_cap_p99,delta_100_cap_max
0.5,kl,all,2700,200,216.73,236.16,271.61,14.58,19.02,25.72,32.48,1.12,25.47,58.04,34.37,0.25,0.8463,0.8694,0.9311,0.0526,0.453,0.5257,0.6961,0.0011,0.1043,0.1678,0.3319,0.0,0.0032,0.0119,0.0505
0.5,kl,attack_train,300,200,216.97,234.92,274.2,14.75,19.54,24.56,30.0,-0.47,25.17,55.34,29.0,0.26,0.8465,0.869,0.8899,0.0533,0.4558,0.5207,0.5826,0.0033,0.1076,0.1606,0.2212,0.0,0.0035,0.0103,0.0232
0.5,kl,creative,450,200,215.66,233.92,259.93,13.1,17.14,23.74,32.34,1.26,24.02,39.35,36.44,0.2489,0.8422,0.8629,0.8765,0.0511,0.4363,0.5053,0.5613,0.0,0.0902,0.1486,0.2139,0.0,0.002,0.0086,0.0246
0.5,kl,factual,450,200,217.02,241.1,304.57,15.25,19.78,27.02,30.17,1.24,27.6,48.96,35.56,0.2333,0.8497,0.881,0.9005,0.0689,0.4631,0.5544,0.6079,0.0,0.1119,0.1909,0.2413,0.0,0.0039,0.0158,0.0268
0.5,kl,neutral,600,200,214.68,239.58,264.87,14.28,19.08,23.95,32.48,0.63,22.02,39.91,30.5,0.2017,0.848,0.865,0.9311,0.0333,0.4565,0.5103,0.6961,0.0,0.1062,0.1522,0.3319,0.0,0.0033,0.0091,0.0505
0.5,kl,test,450,200,219.53,234.35,248.26,14.68,19.24,23.98,28.54,2.18,25.45,58.04,37.56,0.3,0.8458,0.8587,0.8708,0.0556,0.4531,0.4979,0.538,0.0044,0.1052,0.1453,0.1855,0.0,0.0033,0.0085,0.0165
0.5,kl,val,450,200,216.09,234.56,243.22,15.07,18.64,22.25,25.73,1.52,26.05,42.51,36.67,0.2756,0.8449,0.8543,0.866,0.06,0.4487,0.4824,0.5189,0.0,0.101,0.1306,0.1637,0.0,0.0029,0.0062,0.0115
1.0,kl,all,2700,200,333.97,413.74,465.09,14.75,18.87,22.89,30.71,1.0,29.39,69.37,7.89,0.2837,0.9004,0.9118,0.9262,0.0819,0.5785,0.621,0.6785,0.0044,0.1797,0.2285,0.308,0.0,0.0083,0.0171,0.0417
1.0,kl,attack_train,300,200,363.75,427.63,482.69,15.29,19.93,24.22,27.48,1.09,28.09,59.63,11.0,0.29,0.9038,0.9151,0.9186,0.0733,0.5908,0.6335,0.6503,0.0067,0.193,0.2441,0.2702,0.0,0.0103,0.0207,0.0291
1.0,kl,creative,450,200,346.59,417.44,464.12,13.19,16.93,20.55,27.4,0.94,29.83,69.37,9.56,0.2844,0.8999,0.9104,0.9181,0.0889,0.5715,0.6115,0.6487,0.0022,0.1675,0.2123,0.2684,0.0,0.0061,0.0129,0.0286
1.0,kl,factual,450,200,313.13,394.13,474.23,15.84,19.28,24.01,30.71,1.14,29.11,63.51,8.22,0.2978,0.8967,0.9137,0.9262,0.0822,0.5694,0.6291,0.6785,0.0067,0.1743,0.2394,0.308,0.0,0.008,0.0198,0.0417
1.0,kl,neutral,600,200,300.59,399.17,461.68,14.3,19.33,22.54,28.96,1.0,30.1,65.62,7.17,0.2467,0.8978,0.9111,0.9206,0.0817,0.5725,0.6181,0.6589,0.0067,0.1768,0.2247,0.283,0.0,0.0083,0.0162,0.0336
1.0,kl,test,450,200,354.54,423.54,454.35,14.73,17.91,21.16,24.06,0.45,27.82,61.95,6.89,0.3022,0.9017,0.9091,0.9197,0.0867,0.5795,0.6093,0.6469,0.0022,0.177,0.2125,0.2562,0.0,0.0074,0.0134,0.0226
1.0,kl,val,450,200,327.81,409.5,447.21,15.18,18.7,22.03,26.63,1.4,29.23,58.55,5.78,0.2956,0.8995,0.9084,0.9148,0.0756,0.5754,0.6093,0.6376,0.0022,0.1767,0.2155,0.2556,0.0,0.0079,0.0145,0.0253
3.0,kl,all,2700,200,347.56,445.33,535.85,15.16,19.06,22.98,28.66,1.44,31.28,76.55,0.0,0.3156,0.9064,0.9216,0.9415,0.0974,0.5961,0.6508,0.7252,0.0059,0.1943,0.2566,0.3563,0.0,0.0098,0.0215,0.0518
3.0,kl,attack_train,300,200,379.42,471.84,621.24,15.38,19.27,23.03,24.14,2.56,32.23,57.82,0.0,0.3533,0.9109,0.9309,0.933,0.1233,0.6101,0.6809,0.6897,0.0067,0.2067,0.2883,0.3014,0.0,0.0112,0.0273,0.0314
3.0,kl,creative,450,200,374.36,461.25,524.64,13.46,17.48,21.54,24.19,1.38,32.84,76.55,0.0,0.3089,0.9082,0.9196,0.9272,0.0956,0.5976,0.6416,0.6709,0.0089,0.19,0.243,0.2809,0.0,0.0083,0.0179,0.0272
