quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1585,0.1355,0.1825,500,0.189,SURVIVES
"D2 metered gain, order-averaged",metered_k0.1,0.02,-0.0025,0.042,500,0.025,DISSOLVES
"D3 difference of gains, paired",sel_n64 - metered_k0.1,0.1385,0.1155,0.162,500,0.164,REVERSAL CONFIRMED
"D4 sel_nonempty gain, order-averaged",sel_nonempty,0.1675,0.145,0.1905,500,0.191,SURVIVES
"D5 sel_nonempty minus selection, paired",sel_nonempty - sel_n64,0.009,0.002,0.0165,500,,INCUMBENT WINS
order consistency,sel_n64,0.352,,,500,,UNUSABLE
order consistency,sel_n1,0.28,,,500,,UNUSABLE
order consistency,metered_k0.1,0.312,,,500,,UNUSABLE
order consistency,anchor_k0,0.28,,,500,,UNUSABLE
order consistency,sel_nonempty,0.344,,,500,,UNUSABLE
