decoder,constraint,k,n,active_step_pct,distinct3,n_judged,win_pct,loss_pct,judge_picked_first_pct,retention_pct,judge
KL,kl,0.5,1500,48.049,0.8558,600,26.5,59.8,36.1,40.2,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.0,1500,5.428,0.86,600,36.2,52.3,33.2,47.7,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.5,1500,1.153,0.8653,600,38.8,51.5,40.9,48.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.0,1500,0.531,0.88,600,36.8,51.3,42.4,48.7,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.5,1500,0.385,0.9193,600,39.3,48.0,38.7,52.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,3.0,1500,0.349,0.9595,600,41.3,47.5,44.4,52.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,5.0,1500,0.243,0.9808,600,44.0,45.7,40.1,54.3,Qwen/Qwen2.5-7B-Instruct
KL,kl,10.0,1500,0.008,0.9849,600,43.3,43.0,40.3,57.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,20.0,1500,0.0,0.9849,600,41.3,44.8,42.9,55.2,Qwen/Qwen2.5-7B-Instruct
anchor only,kl,0.0,1500,0.0,0.8378,600,27.3,62.7,33.4,37.3,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,0.5,1500,63.314,0.8484,600,27.7,60.7,38.4,39.3,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,1.0,1500,16.075,0.8579,600,36.5,50.8,41.2,49.2,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,3.0,1500,2.079,0.8934,600,38.7,51.7,38.2,48.3,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,5.0,1500,1.153,0.9689,600,39.7,49.8,37.0,50.2,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,10.0,1500,0.513,0.986,600,43.5,45.7,39.2,54.3,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,20.0,1500,0.002,0.9849,600,42.7,41.5,41.8,58.5,Qwen/Qwen2.5-7B-Instruct
renyi a=1,renyi:1.0,3.0,150,0.378,0.9381,150,34.7,54.0,34.0,46.0,Qwen/Qwen2.5-7B-Instruct
renyi a=2,renyi:2,3.0,150,2.504,0.9328,150,32.7,58.0,44.8,42.0,Qwen/Qwen2.5-7B-Instruct
renyi a=4,renyi:4,3.0,150,90.198,0.9193,150,35.4,56.0,36.0,44.0,Qwen/Qwen2.5-7B-Instruct
renyi a=8,renyi:8,3.0,150,99.457,0.9082,150,30.0,62.7,39.6,37.3,Qwen/Qwen2.5-7B-Instruct
risky only,kl,-1.0,1500,0.0,0.9852,0,,,,,Qwen/Qwen2.5-7B-Instruct
risky only (null),kl,-1.0,500,0.0,0.9852,500,43.6,46.4,41.9,53.6,Qwen/Qwen2.5-7B-Instruct
