prompt_class,k,frac_of_steps,frac_of_spend
protected,20,0.9,0.98529
protected,20,0.95,0.99577
protected,20,1.0,1.0
protected,3,0.05,0.18244
protected,3,0.1,0.29498
protected,3,0.15,0.38528
protected,3,0.2,0.46242
protected,3,0.25,0.52981
protected,3,0.3,0.58979
protected,3,0.35,0.64374
protected,3,0.4,0.69261
protected,3,0.45,0.73714
protected,3,0.5,0.77779
protected,3,0.55,0.81478
protected,3,0.6,0.84842
protected,3,0.65,0.87896
protected,3,0.7,0.90656
protected,3,0.75,0.93125
protected,3,0.8,0.95292
protected,3,0.85,0.97148
protected,3,0.9,0.98637
protected,3,0.95,0.99659
protected,3,1.0,1.0
protected,5,0.05,0.18196
protected,5,0.1,0.29439
protected,5,0.15,0.38465
protected,5,0.2,0.46169
protected,5,0.25,0.52911
protected,5,0.3,0.58935
protected,5,0.35,0.64358
protected,5,0.4,0.69263
protected,5,0.45,0.73726
protected,5,0.5,0.77787
protected,5,0.55,0.81485
protected,5,0.6,0.84845
protected,5,0.65,0.87891
protected,5,0.7,0.9064
protected,5,0.75,0.93098
protected,5,0.8,0.95259
protected,5,0.85,0.97108
protected,5,0.9,0.98597
protected,5,0.95,0.99628
protected,5,1.0,1.0
