prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.2926,0.3911,0.5571,0,251,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3911,0.5571
bookmia.00.26,1984,0.8246,0.8779,0.3413,0.3602,0.5296,0,254,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296
bookmia.00.31,1984,0.1211,0.2156,0.2845,0.3789,0.5475,0,252,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475
bookmia.00.40,1984,0.2892,0.4247,0.3393,0.3725,0.5429,0,247,0.3676,73,0.5357,0.3676,0.5357,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429
bookmia.00.46,1984,0.7383,0.8564,0.2371,0.3505,0.519,0,206,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519
bookmia.00.48,1984,0.1643,0.3194,0.003,0.3474,0.5,0,3,0.0,2,0.137,0.0,0.137,0.2676,57,0.4321,0.2676,0.4321,0.2676,57,0.4321,0.2676,0.4321,0.3474,57,0.5,0.3474,0.5
bookmia.00.64,1984,0.0,0.1755,0.2408,0.3594,0.522,0,252,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3594,70,0.522,0.3594,0.522
bookmia.00.71,1984,0.2911,0.4831,0.183,0.3474,0.5157,0,240,0.1221,26,0.2615,0.1221,0.2615,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.255,0.3427,0.5157,0,229,0.1549,33,0.3333,0.1549,0.3333,0.3427,73,0.5157,0.3427,0.5157,0.3427,73,0.5157,0.3427,0.5157,0.3427,73,0.5157,0.3427,0.5157
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.1341,0.3088,0.4718,0,151,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718
bookmia.01.02,a_game_of_thrones,0.1364,0.2493,0.2749,0.3535,0.5204,0,250,0.2475,49,0.4045,0.2475,0.4045,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204
bookmia.01.03,a_game_of_thrones,0.7828,0.8669,0.0357,0.3586,0.5259,0,53,0.0,12,0.1612,0.0,0.1612,0.1263,25,0.259,0.1263,0.259,0.3586,71,0.5259,0.3586,0.5259,0.3586,71,0.5259,0.3586,0.5259
bookmia.01.04,a_game_of_thrones,0.2415,0.3887,0.3286,0.3671,0.53,0,254,0.3623,75,0.53,0.3623,0.53,0.3623,75,0.53,0.3623,0.53,0.3623,75,0.53,0.3671,0.53,0.3623,75,0.53,0.3671,0.53
