quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.107,0.0825,0.132,500,0.118,SURVIVES
"D2 metered gain, order-averaged",metered_k20,0.0585,0.034,0.0825,500,0.031,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k20,0.0485,0.0145,0.082,500,0.087,REVERSAL CONFIRMED
"D4 sel_nonempty gain, order-averaged",sel_nonempty,0.1135,0.0895,0.138,500,0.104,SURVIVES
"D5 sel_nonempty minus selection, paired",sel_nonempty - sel_n64,0.0065,-0.015,0.0285,500,,TIE
order consistency,sel_n64,0.356,,,500,,UNUSABLE
order consistency,sel_n1,0.37,,,500,,UNUSABLE
order consistency,metered_k20,0.342,,,500,,UNUSABLE
order consistency,anchor_k0,0.402,,,500,,UNUSABLE
order consistency,sel_nonempty,0.354,,,500,,UNUSABLE
