decoder,constraint,k,prompt_class,n,active_step_pct,forced_anchor_step_pct,distinct3,max_rep_5gram,n_judged,win_pct,tie_pct,loss_pct,judge_picked_first_pct,retention_pct,judge
KL,kl,0.5,creative,450,56.509,3.542,0.8525,0.1495,200,26.0,16.0,58.0,35.1,42.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,0.5,factual,450,45.406,4.119,0.9848,0.0178,200,23.0,12.0,65.0,35.8,35.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,0.5,neutral,600,43.686,2.766,0.7615,0.2354,200,30.5,13.0,56.5,37.4,43.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.0,creative,450,6.295,1.649,0.864,0.1358,200,33.5,17.5,49.0,32.7,51.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.0,factual,450,5.68,1.828,0.984,0.0125,200,37.0,6.0,57.0,38.3,43.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.0,neutral,600,4.59,1.294,0.7641,0.2317,200,38.0,11.0,51.0,28.7,49.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.5,creative,450,1.049,1.031,0.8774,0.1219,200,36.5,9.5,54.0,39.2,46.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.5,factual,450,1.627,1.122,0.9877,0.01,200,40.0,8.5,51.5,41.5,48.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,1.5,neutral,600,0.875,0.829,0.7644,0.2295,200,40.0,11.0,49.0,42.1,51.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.0,creative,450,0.425,0.75,0.8792,0.1201,200,29.5,18.0,52.5,36.0,47.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.0,factual,450,0.845,0.786,0.9872,0.0102,200,43.0,5.5,51.5,43.4,48.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.0,neutral,600,0.376,0.55,0.8002,0.1916,200,38.0,12.0,50.0,47.7,50.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.5,creative,450,0.258,0.571,0.8944,0.1048,200,36.0,19.5,44.5,32.9,55.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.5,factual,450,0.533,0.565,0.9867,0.0103,200,47.0,6.0,47.0,41.5,53.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,2.5,neutral,600,0.368,0.302,0.8873,0.1039,200,35.0,12.5,52.5,41.7,47.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,3.0,creative,450,0.256,0.375,0.9264,0.0718,200,39.5,18.5,42.0,39.9,58.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,3.0,factual,450,0.323,0.48,0.9896,0.008,200,45.0,3.5,51.5,44.6,48.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,3.0,neutral,600,0.439,0.119,0.9617,0.0281,200,39.5,11.5,49.0,48.6,51.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,5.0,creative,450,0.104,0.033,0.9758,0.023,200,39.0,15.5,45.5,36.7,54.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,5.0,factual,450,0.438,0.063,0.9869,0.0083,200,46.0,6.5,47.5,40.6,52.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,5.0,neutral,600,0.202,0.007,0.9799,0.0084,200,47.0,9.0,44.0,42.9,56.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,10.0,creative,450,0.0,0.0,0.9913,0.0075,200,40.5,18.0,41.5,36.0,58.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,10.0,factual,450,0.023,0.001,0.9852,0.0084,200,48.5,8.5,43.0,39.9,57.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,10.0,neutral,600,0.003,0.0,0.98,0.0084,200,41.0,14.5,44.5,45.0,55.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,20.0,creative,450,0.0,0.0,0.9913,0.0075,200,36.0,21.0,43.0,43.7,57.0,Qwen/Qwen2.5-7B-Instruct
KL,kl,20.0,factual,450,0.0,0.001,0.9852,0.0083,200,46.0,5.5,48.5,39.2,51.5,Qwen/Qwen2.5-7B-Instruct
KL,kl,20.0,neutral,600,0.0,0.0,0.98,0.0084,200,42.0,15.0,43.0,45.9,57.0,Qwen/Qwen2.5-7B-Instruct
anchor only,kl,0.0,creative,450,0.0,100.0,0.8592,0.1485,200,27.5,13.0,59.5,40.2,40.5,Qwen/Qwen2.5-7B-Instruct
anchor only,kl,0.0,factual,450,0.0,100.0,0.9579,0.0706,200,26.5,8.5,65.0,30.6,35.0,Qwen/Qwen2.5-7B-Instruct
anchor only,kl,0.0,neutral,600,0.0,100.0,0.7317,0.276,200,28.0,8.5,63.5,29.5,36.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,0.5,creative,450,64.074,3.58,0.846,0.1557,200,28.0,17.5,54.5,34.5,45.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,0.5,factual,450,64.031,4.129,0.9743,0.0303,200,26.0,8.5,65.5,42.1,34.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,0.5,neutral,600,62.207,2.757,0.7557,0.2423,200,29.0,9.0,62.0,38.5,38.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,1.0,creative,450,15.816,1.657,0.8616,0.1405,200,32.5,17.5,50.0,38.8,50.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,1.0,factual,450,17.526,1.845,0.9795,0.0152,200,42.0,7.5,50.5,42.7,49.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,1.0,neutral,600,15.18,1.284,0.7639,0.2313,200,35.0,13.0,52.0,42.0,48.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,3.0,creative,450,1.933,0.421,0.8977,0.1023,200,34.0,11.0,55.0,34.3,45.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,3.0,factual,450,2.146,0.48,0.9902,0.0078,200,41.5,7.5,51.0,41.1,49.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,3.0,neutral,600,2.137,0.159,0.8175,0.1767,200,40.5,10.5,49.0,39.1,51.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,5.0,creative,450,1.086,0.043,0.9565,0.043,200,39.0,14.5,46.5,33.9,53.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,5.0,factual,450,1.227,0.063,0.9906,0.0079,200,42.5,5.0,52.5,39.5,47.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,5.0,neutral,600,1.149,0.009,0.962,0.0281,200,37.5,12.0,50.5,37.5,49.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,10.0,creative,450,0.5,0.0,0.9902,0.0078,200,39.5,18.0,42.5,34.8,57.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,10.0,factual,450,0.541,0.0,0.9883,0.0081,200,46.5,4.0,49.5,36.5,50.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,10.0,neutral,600,0.501,0.0,0.9811,0.0083,200,44.5,10.5,45.0,46.4,55.0,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,20.0,creative,450,0.0,0.0,0.9913,0.0075,200,35.0,19.5,45.5,38.5,54.5,Qwen/Qwen2.5-7B-Instruct
pathwise,pathwise,20.0,factual,450,0.003,0.001,0.9852,0.0083,200,47.5,11.0,41.5,41.6,58.5,Qwen/Qwen2.5-7B-Instruct
